台北新101,110 台北市信義區市府路45號B1 0.15 公里,https://www.mcdonalds.com/tw/zh-tw/location/1030425.html,25.03349,121.56408,R03 台北101/世貿站,121.563667,25.032865,0.08081200196290657 km
新光信義,110 台北市信義區松高路12號B2 0.69 公里,https://www.mcdonalds.com/tw/zh-tw/location/1030363.html,25.03897676,121.5668736,BL18 市政府站,121.565685,25.041135,0.26747954235722593 km
信義誠品,110 台北市信義區松高路11號B2 0.73 公里,https://www.mcdonalds.com/tw/zh-tw/location/1030430.html,25.039525,121.565609,BL18 市政府站,121.565685,25.041135,0.17851015472798173 km
台北莊敬(含現烤法點),110 台北市信義區莊敬路475號1樓 0.73 公里,https://www.mcdonalds.com/tw/zh-tw/location/1030340.html,25.02685566,121.5681264,R02 象山站,121.570116,25.032395,0.6456315507156922 km
台北光復(含現烤法點),106 台北市大安區光復南路286號 1.09 公里,https://www.mcdonalds.com/tw/zh-tw/location/1030006.html,25.0395426,121.557442,BL17 國父紀念館站,121.557815,25.04137,0.20589756083928984 km
台北信義,106 台北市大安區信義路4段273號1樓 1.10 公里,https://www.mcdonalds.com/tw/zh-tw/location/1030106.html,25.03335013,121.554527,R04 信義安和站,121.552326,25.033015,0.22521218502770746 km
忠孝四,110 台北市信義區忠孝東路5段522號1樓 1.67 公里,https://www.mcdonalds.com/tw/zh-tw/location/1030108.html,25.0413397,121.57917,BL19 永春站,121.5762,25.040855,0.3044931447801047 km
台北麟光,106 台北市大安區和平東路3段406巷8號1樓 1.79 公里,https://www.mcdonalds.com/tw/zh-tw/location/1030167.html,25.01833273,121.5580079,BR06 麟光站,121.5588335,25.018495,0.08524859775657684 km
台北南京二,105 台北市松山區南京東路5段162號1樓 2.05 公里,https://www.mcdonalds.com/tw/zh-tw/location/1030302.html,25.051223,121.563076,G18 南京三民站,121.56471,25.051588,0.16976875059366717 km
忠孝五,106 台北市大安區忠孝東路4段73號之一1樓 2.11 公里,https://www.mcdonalds.com/tw/zh-tw/location/1030144.html,25.04198702,121.5469866,BL15 BR10 忠孝復興站,121.545026,25.041749,0.1996046850019746 km
松山車站(含現烤法點),105 台北市信義區松山路11號一樓商場 2.21 公里,https://www.mcdonalds.com/tw/zh-tw/location/1030466.html,25.04927,121.57796,G19 松山站,121.577706,25.050118,0.09737005134197371 km
復興二,106 台北市大安區復興南路二段273號 2.34 公里,https://www.mcdonalds.com/tw/zh-tw/location/1030362.html,25.02567103,121.5436483,BR08 科技大樓站,121.5434615,25.02612,0.05318753350200914 km
